ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94132,1,2020,Gas- Commercial,Y,0,0,NA
94132,2,2020,Gas- Commercial,Y,0,0,NA
94132,3,2020,Gas- Commercial,Y,0,0,NA
94133,1,2020,Gas- Commercial,N,614,275550,449
94133,2,2020,Gas- Commercial,N,607,235111,387
94133,3,2020,Gas- Commercial,N,610,178532,293
94134,1,2020,Gas- Commercial,Y,0,0,NA
94134,2,2020,Gas- Commercial,Y,0,0,NA
94134,3,2020,Gas- Commercial,Y,0,0,NA
94158,1,2020,Gas- Commercial,Y,0,0,NA
94158,2,2020,Gas- Commercial,Y,0,0,NA
94158,3,2020,Gas- Commercial,Y,0,0,NA
94303,1,2020,Gas- Commercial,Y,0,0,NA
94303,2,2020,Gas- Commercial,Y,0,0,NA
94303,3,2020,Gas- Commercial,Y,0,0,NA
94304,1,2020,Gas- Commercial,Y,0,0,NA
94304,2,2020,Gas- Commercial,Y,0,0,NA
94304,3,2020,Gas- Commercial,Y,0,0,NA
94305,1,2020,Gas- Commercial,Y,0,0,NA
94305,2,2020,Gas- Commercial,Y,0,0,NA
94305,3,2020,Gas- Commercial,Y,0,0,NA
94306,1,2020,Gas- Commercial,Y,0,0,NA
94306,2,2020,Gas- Commercial,Y,0,0,NA
94306,3,2020,Gas- Commercial,Y,0,0,NA
94401,1,2020,Gas- Commercial,Y,1910,1526555,799
94401,2,2020,Gas- Commercial,Y,1914,1238558,647
94401,3,2020,Gas- Commercial,Y,0,0,NA
94402,1,2020,Gas- Commercial,Y,514,318649,620
94402,2,2020,Gas- Commercial,N,284,176124,620
94402,3,2020,Gas- Commercial,Y,0,0,NA
94403,1,2020,Gas- Commercial,Y,0,0,NA
94403,2,2020,Gas- Commercial,Y,0,0,NA
94403,3,2020,Gas- Commercial,Y,0,0,NA
94404,1,2020,Gas- Commercial,Y,0,0,NA
94404,2,2020,Gas- Commercial,Y,0,0,NA
94404,3,2020,Gas- Commercial,Y,0,0,NA
94501,1,2020,Gas- Commercial,N,753,359495,477
94501,2,2020,Gas- Commercial,N,753,284468,378
94501,3,2020,Gas- Commercial,N,750,253335,338
94502,1,2020,Gas- Commercial,Y,0,0,NA
94502,2,2020,Gas- Commercial,Y,0,0,NA
94502,3,2020,Gas- Commercial,Y,0,0,NA
94503,1,2020,Gas- Commercial,Y,0,0,NA
94503,2,2020,Gas- Commercial,Y,0,0,NA
