CUSTOMERCLASS,DATE,TOTALKBTU
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,10875000.2536
Gas- Commercial,2017-02-01,7479411.9932
Gas- Commercial,2017-03-01,6663407.065
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,30166688.4379
Gas- Commercial,2017-02-01,20603874.4968
Gas- Commercial,2017-03-01,17667476.4637
Gas- Commercial,2017-01-01,14978619.2542
Gas- Commercial,2017-02-01,10019804.6942
Gas- Commercial,2017-03-01,8614240.7043
Gas- Commercial,2017-01-01,28125076.4998
Gas- Commercial,2017-02-01,18216545.2049
Gas- Commercial,2017-03-01,15314139.0458
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,5466293.2436
Gas- Commercial,2017-02-01,4295273.1843
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,14214201.9936
Gas- Commercial,2017-02-01,9232392.9306
Gas- Commercial,2017-03-01,16491457.5994
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,52464857.9014
Gas- Commercial,2017-02-01,31889076.6887
Gas- Commercial,2017-03-01,26709114.9955
Gas- Commercial,2017-01-01,8345604.9236
Gas- Commercial,2017-02-01,6159327.5688
Gas- Commercial,2017-03-01,5620056.4854
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,9638595.8249
Gas- Commercial,2017-02-01,6750486.2481
Gas- Commercial,2017-03-01,6253105.1506
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,55645497.5468
Gas- Commercial,2017-02-01,40858432.5002
Gas- Commercial,2017-03-01,35097509.6899
Gas- Commercial,2017-01-01,23375911.8215
Gas- Commercial,2017-02-01,16239717.7796
Gas- Commercial,2017-03-01,13446585.4978
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,88615115.9243
Gas- Commercial,2017-02-01,61610171.6489
Gas- Commercial,2017-03-01,72943062.4405
Gas- Commercial,2017-01-01,25576285.8064
Gas- Commercial,2017-02-01,18077978.3303
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,20956590.1776
Gas- Commercial,2017-02-01,15275248.3429
Gas- Commercial,2017-03-01,14044642.528
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,33209161.1131
Gas- Commercial,2017-02-01,24996924.3069
Gas- Commercial,2017-03-01,23902086.0358
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,37159916.6568
Gas- Commercial,2017-03-01,33707142.0672
Gas- Commercial,2017-01-01,13881081.6284
Gas- Commercial,2017-02-01,10345726.7802
Gas- Commercial,2017-03-01,9575011.0253
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,23161263.1348
Gas- Commercial,2017-02-01,16722702.3187
Gas- Commercial,2017-03-01,16083355.1592
Gas- Commercial,2017-01-01,34880861.4812
Gas- Commercial,2017-02-01,22131209.3765
Gas- Commercial,2017-03-01,18970065.0706
Gas- Commercial,2017-01-01,38491998.2132
Gas- Commercial,2017-02-01,26008582.4628
Gas- Commercial,2017-03-01,22885029.1705
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,55066435.9756
Gas- Commercial,2017-02-01,49787997.8239
Gas- Commercial,2017-03-01,31259827.1153
Gas- Commercial,2017-01-01,0
